applied voltage (volts)	measured current (nanoamps)
-2.095000E+0	-7.670796E+1
-2.090000E+0	-8.657761E+1
-2.085000E+0	-7.999785E+1
-2.080000E+0	-9.973714E+1
-2.075000E+0	-7.012820E+1
-2.070000E+0	-1.260562E+2
-2.065000E+0	-9.315738E+1
-2.060000E+0	-7.341808E+1
-2.055000E+0	-7.341808E+1
-2.050000E+0	-1.227663E+2
-2.045000E+0	-6.354843E+1
-2.040000E+0	-5.367879E+1
-2.035000E+0	-6.354843E+1
-2.030000E+0	-7.670796E+1
-2.025000E+0	-1.293461E+2
-2.020000E+0	-6.025855E+1
-2.015000E+0	-8.657761E+1
-2.010000E+0	-9.973714E+1
-2.005000E+0	-1.030270E+2
-2.000000E+0	-1.063169E+2
-1.995000E+0	-8.657761E+1
-1.990000E+0	-5.367879E+1
-1.985000E+0	-7.670796E+1
-1.980000E+0	-8.986749E+1
-1.975000E+0	-8.986749E+1
-1.970000E+0	-1.030270E+2
-1.965000E+0	-8.657761E+1
-1.960000E+0	-8.328773E+1
-1.955000E+0	-1.161866E+2
-1.950000E+0	-4.709902E+1
-1.945000E+0	-8.657761E+1
-1.940000E+0	-7.012820E+1
-1.935000E+0	-8.328773E+1
-1.930000E+0	-6.354843E+1
-1.925000E+0	-8.986749E+1
-1.920000E+0	-1.096068E+2
-1.915000E+0	-5.367879E+1
-1.910000E+0	-8.328773E+1
-1.905000E+0	-7.999785E+1
-1.900000E+0	-7.341808E+1
-1.895000E+0	-8.328773E+1
-1.890000E+0	-9.973714E+1
-1.885000E+0	-9.644726E+1
-1.880000E+0	-9.315738E+1
-1.875000E+0	-6.683832E+1
-1.870000E+0	-7.012820E+1
-1.865000E+0	-1.063169E+2
-1.860000E+0	-7.999785E+1
-1.855000E+0	-9.315738E+1
-1.850000E+0	-7.670796E+1
-1.845000E+0	-1.096068E+2
-1.840000E+0	-6.683832E+1
-1.835000E+0	-7.012820E+1
-1.830000E+0	-6.025855E+1
-1.825000E+0	-1.030270E+2
-1.820000E+0	-1.063169E+2
-1.815000E+0	-7.999785E+1
-1.810000E+0	-8.328773E+1
-1.805000E+0	-9.644726E+1
-1.800000E+0	-1.096068E+2
-1.795000E+0	-1.194764E+2
-1.790000E+0	-1.063169E+2
-1.785000E+0	-6.025855E+1
-1.780000E+0	-4.709902E+1
-1.775000E+0	-9.315738E+1
-1.770000E+0	-1.030270E+2
-1.765000E+0	-7.670796E+1
-1.760000E+0	-8.657761E+1
-1.755000E+0	-7.670796E+1
-1.750000E+0	-6.354843E+1
-1.745000E+0	-8.986749E+1
-1.740000E+0	-7.012820E+1
-1.735000E+0	-9.644726E+1
-1.730000E+0	-8.328773E+1
-1.725000E+0	-1.030270E+2
-1.720000E+0	-5.696867E+1
-1.715000E+0	-7.341808E+1
-1.710000E+0	-9.644726E+1
-1.705000E+0	-9.315738E+1
-1.700000E+0	-5.367879E+1
-1.695000E+0	-8.986749E+1
-1.690000E+0	-9.644726E+1
-1.685000E+0	-8.328773E+1
-1.680000E+0	-7.670796E+1
-1.675000E+0	-8.986749E+1
-1.670000E+0	-9.315738E+1
-1.665000E+0	-8.657761E+1
-1.660000E+0	-5.696867E+1
-1.655000E+0	-7.670796E+1
-1.650000E+0	-7.999785E+1
-1.645000E+0	-1.161866E+2
-1.640000E+0	-8.986749E+1
-1.635000E+0	-7.012820E+1
-1.630000E+0	-5.038890E+1
-1.625000E+0	-1.063169E+2
-1.620000E+0	-4.709902E+1
-1.615000E+0	-8.986749E+1
-1.610000E+0	-6.354843E+1
-1.605000E+0	-8.328773E+1
-1.600000E+0	-7.012820E+1
-1.595000E+0	-9.315738E+1
-1.590000E+0	-1.030270E+2
-1.585000E+0	-6.354843E+1
-1.580000E+0	-6.354843E+1
-1.575000E+0	-8.657761E+1
-1.570000E+0	-1.063169E+2
-1.565000E+0	-1.030270E+2
-1.560000E+0	-7.670796E+1
-1.555000E+0	-1.194764E+2
-1.550000E+0	-1.161866E+2
-1.545000E+0	-1.128967E+2
-1.540000E+0	-1.326360E+2
-1.535000E+0	-6.354843E+1
-1.530000E+0	-7.341808E+1
-1.525000E+0	-5.038890E+1
-1.520000E+0	-8.986749E+1
-1.515000E+0	-7.670796E+1
-1.510000E+0	-6.683832E+1
-1.505000E+0	-9.315738E+1
-1.500000E+0	-8.986749E+1
-1.495000E+0	-1.359259E+2
-1.490000E+0	-1.293461E+2
-1.485000E+0	-8.657761E+1
-1.480000E+0	-7.341808E+1
-1.475000E+0	-5.038890E+1
-1.470000E+0	-9.973714E+1
-1.465000E+0	-7.670796E+1
-1.460000E+0	-8.328773E+1
-1.455000E+0	-7.341808E+1
-1.450000E+0	-7.341808E+1
-1.445000E+0	-6.025855E+1
-1.440000E+0	-6.354843E+1
-1.435000E+0	-7.999785E+1
-1.430000E+0	-9.644726E+1
-1.425000E+0	-1.063169E+2
-1.420000E+0	-1.063169E+2
-1.415000E+0	-9.644726E+1
-1.410000E+0	-1.096068E+2
-1.405000E+0	-1.096068E+2
-1.400000E+0	-1.128967E+2
-1.395000E+0	-6.025855E+1
-1.390000E+0	-6.354843E+1
-1.385000E+0	-1.063169E+2
-1.380000E+0	-1.063169E+2
