Channel,Count,Energy (keV)
476,183,-966.0465666929758
477,198,-965.7450670876087
478,190,-965.4435674822417
479,187,-965.1420678768748
480,186,-964.8405682715078
481,181,-964.5390686661408
482,172,-964.2375690607737
483,176,-963.9360694554067
484,183,-963.6345698500397
485,187,-963.3330702446727
486,166,-963.0315706393058
487,181,-962.7300710339387
488,177,-962.4285714285717
489,187,-962.1270718232047
490,180,-961.8255722178377
491,191,-961.5240726124707
492,187,-961.2225730071036
493,193,-960.9210734017366
494,163,-960.6195737963697
495,178,-960.3180741910026
496,175,-960.0165745856357
497,194,-959.7150749802686
498,177,-959.4135753749016
499,187,-959.1120757695346
500,174,-958.8105761641675
501,161,-958.5090765588005
502,180,-958.2075769534335
503,182,-957.9060773480666
504,186,-957.6045777426996
505,165,-957.3030781373325
506,189,-957.0015785319655
507,187,-956.7000789265985
508,181,-956.3985793212315
509,189,-956.0970797158645
510,185,-955.7955801104974
511,199,-955.4940805051305
512,184,-955.1925808997635
513,206,-954.8910812943965
514,175,-954.5895816890295
515,182,-954.2880820836624
516,187,-953.9865824782954
517,187,-953.6850828729284
518,203,-953.3835832675614
519,226,-953.0820836621945
520,180,-952.7805840568274
521,200,-952.4790844514604
522,167,-952.1775848460934
523,207,-951.8760852407264
524,188,-951.5745856353594
525,175,-951.2730860299923
526,173,-950.9715864246253
527,212,-950.6700868192584
528,200,-950.3685872138913
529,182,-950.0670876085244
530,180,-949.7655880031573
531,206,-949.4640883977903
532,184,-949.1625887924233
533,183,-948.8610891870562
534,210,-948.5595895816892
535,191,-948.2580899763223
536,179,-947.9565903709553
537,193,-947.6550907655883
538,200,-947.3535911602212
539,214,-947.0520915548542
540,183,-946.7505919494872
541,216,-946.4490923441202
542,198,-946.1475927387532
543,202,-945.8460931333861
544,197,-945.5445935280192
545,195,-945.2430939226522
546,190,-944.9415943172852
547,200,-944.6400947119182
548,192,-944.3385951065511
549,173,-944.0370955011841
550,211,-943.7355958958171
551,178,-943.4340962904502
552,177,-943.1325966850832
553,190,-942.8310970797161
554,175,-942.5295974743491
555,192,-942.2280978689821
556,194,-941.9265982636151
557,225,-941.6250986582481
558,219,-941.323599052881
559,193,-941.022099447514
560,169,-940.7205998421471
561,203,-940.4191002367801
562,181,-940.1176006314131
563,205,-939.816101026046
564,205,-939.514601420679
565,190,-939.213101815312
566,188,-938.9116022099449
567,187,-938.6101026045781
568,220,-938.308602999211
569,170,-938.007103393844
570,173,-937.705603788477
571,178,-937.4041041831099
572,172,-937.1026045777429
573,188,-936.8011049723759
574,205,-936.4996053670089
575,174,-936.198105761642
576,204,-935.8966061562749
577,189,-935.5951065509079
578,197,-935.2936069455409
579,179,-934.9921073401739
580,190,-934.6906077348069
581,199,-934.3891081294398
582,197,-934.0876085240728
583,160,-933.7861089187058
584,169,-933.4846093133389
585,197,-933.1831097079719
586,188,-932.8816101026048
587,185,-932.5801104972378
588,197,-932.2786108918708
589,172,-931.9771112865038
590,196,-931.6756116811368
591,168,-931.3741120757697
592,202,-931.0726124704028
593,185,-930.7711128650358
594,185,-930.4696132596688
595,188,-930.1681136543018
596,189,-929.8666140489347
597,172,-929.5651144435677
598,185,-929.2636148382007
599,183,-928.9621152328338
600,200,-928.6606156274668
601,184,-928.3591160220997
602,192,-928.0576164167327
603,177,-927.7561168113657
604,205,-927.4546172059986
605,186,-927.1531176006317
606,200,-926.8516179952646
607,172,-926.5501183898976
608,191,-926.2486187845307
609,176,-925.9471191791636
