Time,Count,Energy (keV)
591,22,-678.911542
592,25,-678.62454
593,18,-678.337538
594,27,-678.050536
595,29,-677.7635339999999
596,26,-677.476532
597,13,-677.18953
598,22,-676.902528
599,23,-676.615526
600,22,-676.328524
601,27,-676.041522
602,21,-675.75452
603,23,-675.467518
604,29,-675.180516
605,24,-674.893514
606,25,-674.6065120000001
607,21,-674.31951
608,19,-674.032508
609,23,-673.745506
610,22,-673.458504
611,23,-673.171502
612,20,-672.8845
613,17,-672.597498
614,27,-672.3104960000001
615,18,-672.023494
616,31,-671.736492
617,21,-671.44949
618,21,-671.1624879999999
619,23,-670.875486
620,26,-670.588484
621,17,-670.301482
622,24,-670.01448
623,37,-669.727478
624,24,-669.440476
625,29,-669.153474
626,29,-668.8664719999999
627,20,-668.57947
628,32,-668.292468
629,29,-668.0054660000001
630,29,-667.718464
631,15,-667.431462
632,21,-667.14446
633,20,-666.857458
634,15,-666.570456
635,24,-666.283454
636,20,-665.996452
637,25,-665.7094500000001
638,22,-665.422448
639,22,-665.135446
640,29,-664.848444
641,24,-664.5614419999999
642,19,-664.27444
643,20,-663.987438
644,34,-663.700436
645,29,-663.413434
646,20,-663.126432
647,26,-662.83943
648,18,-662.552428
649,23,-662.2654259999999
650,15,-661.978424
651,24,-661.691422
652,28,-661.40442
653,20,-661.117418
654,21,-660.830416
655,16,-660.543414
656,24,-660.256412
657,20,-659.96941
658,20,-659.682408
659,17,-659.395406
660,32,-659.1084040000001
661,15,-658.821402
662,19,-658.5344
663,17,-658.247398
664,32,-657.960396
665,21,-657.673394
666,17,-657.386392
667,23,-657.09939
668,20,-656.812388
669,21,-656.525386
670,24,-656.238384
671,23,-655.951382
672,20,-655.6643799999999
673,16,-655.377378
674,25,-655.090376
675,30,-654.803374
676,25,-654.516372
677,22,-654.22937
678,24,-653.942368
679,27,-653.655366
680,25,-653.368364
681,26,-653.081362
682,21,-652.79436
683,29,-652.5073580000001
684,21,-652.220356
685,32,-651.933354
686,26,-651.646352
687,24,-651.35935
688,24,-651.072348
689,18,-650.785346
690,30,-650.498344
691,32,-650.2113420000001
692,26,-649.92434
693,22,-649.637338
694,21,-649.350336
695,19,-649.0633339999999
696,17,-648.776332
697,20,-648.48933
698,23,-648.202328
699,30,-647.915326
700,23,-647.628324
701,20,-647.341322
702,25,-647.05432
703,25,-646.7673179999999
704,22,-646.480316
705,17,-646.193314
706,25,-645.9063120000001
707,24,-645.61931
708,26,-645.332308
709,25,-645.045306
710,24,-644.758304
711,25,-644.471302
712,40,-644.1843
713,20,-643.897298
714,24,-643.6102960000001
715,32,-643.323294
716,27,-643.036292
717,20,-642.74929
718,21,-642.462288
719,23,-642.175286
720,22,-641.888284
721,22,-641.601282
722,29,-641.31428
723,33,-641.027278
724,27,-640.740276
725,22,-640.453274
726,18,-640.1662719999999
727,28,-639.87927
728,25,-639.592268
729,25,-639.305266
730,26,-639.018264
731,28,-638.731262
732,21,-638.44426
733,32,-638.157258
734,31,-637.870256
735,32,-637.583254
736,26,-637.296252
737,20,-637.0092500000001
738,22,-636.722248
739,24,-636.435246
740,27,-636.148244
741,21,-635.861242
742,25,-635.57424
743,22,-635.287238
744,24,-635.000236
745,33,-634.713234
746,24,-634.426232
747,20,-634.13923
748,20,-633.852228
749,41,-633.5652259999999
750,15,-633.278224
751,25,-632.991222
752,24,-632.70422
753,28,-632.417218
754,28,-632.130216
755,27,-631.843214
756,31,-631.556212
757,24,-631.26921
758,26,-630.982208
759,30,-630.695206
760,16,-630.4082040000001
761,34,-630.121202
762,22,-629.8342
763,21,-629.547198
764,24,-629.260196
765,28,-628.973194
766,28,-628.686192
767,39,-628.39919
768,17,-628.1121880000001
769,21,-627.825186
770,21,-627.538184
771,31,-627.251182
772,38,-626.9641799999999
773,23,-626.677178
774,31,-626.390176
775,39,-626.103174
776,30,-625.816172
777,28,-625.52917
778,28,-625.242168
779,36,-624.955166
780,31,-624.6681639999999
781,16,-624.381162
782,29,-624.09416
783,37,-623.8071580000001
784,37,-623.520156
785,25,-623.233154
786,30,-622.946152
787,30,-622.65915
788,28,-622.372148
789,33,-622.085146
790,40,-621.798144
791,28,-621.5111420000001
792,40,-621.22414
793,31,-620.937138
794,29,-620.650136
795,37,-620.363134
796,32,-620.076132
797,19,-619.78913
798,33,-619.502128
799,36,-619.215126
800,33,-618.928124
801,31,-618.641122
802,26,-618.35412
803,23,-618.0671179999999
804,42,-617.780116
805,35,-617.493114
806,25,-617.206112
807,40,-616.91911
808,32,-616.632108
809,39,-616.345106
810,36,-616.058104
811,30,-615.771102
812,27,-615.4841
813,33,-615.197098
814,42,-614.9100960000001
815,31,-614.623094
816,20,-614.336092
817,49,-614.04909
818,31,-613.762088
819,39,-613.475086
820,28,-613.188084
821,33,-612.901082
822,30,-612.6140800000001
823,33,-612.327078
824,41,-612.040076
825,42,-611.753074
826,38,-611.4660719999999
827,24,-611.17907
828,42,-610.892068
829,27,-610.605066
830,44,-610.318064
831,36,-610.031062
832,44,-609.74406
833,32,-609.457058
834,34,-609.170056
835,33,-608.883054
836,45,-608.596052
837,37,-608.3090500000001
838,32,-608.022048
839,40,-607.735046
840,41,-607.448044
841,33,-607.161042
842,34,-606.87404
843,45,-606.587038
844,44,-606.300036
845,40,-606.0130340000001
846,46,-605.726032
847,33,-605.43903
848,47,-605.152028
849,37,-604.865026
850,34,-604.578024
851,36,-604.291022
852,28,-604.00402
853,45,-603.717018
854,35,-603.430016
855,39,-603.143014
856,48,-602.856012
857,44,-602.5690099999999
858,38,-602.282008
859,34,-601.995006
860,39,-601.7080040000001
861,47,-601.421002
862,45,-601.134
863,40,-600.846998
864,46,-600.559996
865,43,-600.272994
866,45,-599.985992
867,37,-599.69899
868,48,-599.4119880000001
869,39,-599.124986
870,51,-598.837984
871,43,-598.550982
872,45,-598.26398
873,46,-597.976978
874,37,-597.689976
875,48,-597.402974
876,43,-597.115972
877,42,-596.82897
878,46,-596.541968
879,51,-596.254966
880,37,-595.9679639999999
881,45,-595.680962
882,45,-595.39396
883,49,-595.106958
884,31,-594.819956
885,42,-594.532954
886,39,-594.245952
887,32,-593.95895
888,42,-593.671948
889,40,-593.384946
890,48,-593.097944
891,35,-592.8109420000001
892,56,-592.52394
893,43,-592.236938
894,52,-591.949936
895,58,-591.662934
896,53,-591.375932
897,35,-591.08893
898,52,-590.8019280000001
899,42,-590.5149260000001
900,39,-590.227924
901,45,-589.940922
902,44,-589.65392
903,54,-589.3669179999999
904,51,-589.079916
905,55,-588.792914
906,53,-588.5059120000001
907,46,-588.21891
908,50,-587.931908
909,47,-587.644906
910,51,-587.357904
911,57,-587.0709019999999
912,56,-586.7839
913,44,-586.496898
914,45,-586.2098960000001
915,46,-585.922894
916,44,-585.635892
917,45,-585.34889
918,46,-585.061888
919,38,-584.7748859999999
920,42,-584.487884
921,54,-584.200882
922,49,-583.9138800000001
923,54,-583.626878
924,59,-583.339876
925,58,-583.052874
926,55,-582.765872
927,57,-582.47887
928,46,-582.191868
929,51,-581.9048660000001
930,48,-581.617864
931,55,-581.330862
932,47,-581.04386
933,44,-580.756858
934,56,-580.4698559999999
935,54,-580.182854
936,59,-579.895852
937,64,-579.6088500000001
938,50,-579.321848
939,49,-579.034846
940,58,-578.747844
941,50,-578.460842
942,62,-578.1738399999999
943,54,-577.886838
944,58,-577.599836
945,53,-577.3128340000001
946,63,-577.025832
947,38,-576.73883
948,58,-576.451828
949,47,-576.164826
950,50,-575.877824
951,60,-575.590822
952,51,-575.3038200000001
953,52,-575.0168180000001
954,63,-574.729816
955,63,-574.442814
956,45,-574.155812
957,57,-573.8688099999999
958,62,-573.581808
959,59,-573.294806
960,69,-573.0078040000001
961,54,-572.720802
962,50,-572.4338
963,60,-572.146798
964,42,-571.859796
965,46,-571.5727939999999
966,59,-571.285792
967,67,-570.99879
968,46,-570.7117880000001
969,53,-570.424786
970,60,-570.137784
971,57,-569.850782
972,54,-569.56378
973,45,-569.276778
974,50,-568.989776
975,47,-568.7027740000001
976,56,-568.4157720000001
977,49,-568.12877
978,56,-567.841768
979,55,-567.554766
980,41,-567.2677639999999
981,49,-566.980762
982,53,-566.69376
983,52,-566.4067580000001
984,66,-566.119756
985,56,-565.832754
986,39,-565.545752
987,63,-565.25875
988,50,-564.9717479999999
989,51,-564.684746
990,46,-564.397744
991,55,-564.1107420000001
992,43,-563.82374
993,48,-563.536738
994,51,-563.249736
995,62,-562.962734
996,54,-562.6757319999999
997,49,-562.38873
998,56,-562.101728
999,45,-561.8147260000001
1000,47,-561.527724
1001,41,-561.240722
1002,51,-560.95372
1003,61,-560.666718
1004,66,-560.379716
1005,53,-560.092714
1006,40,-559.8057120000001
1007,49,-559.51871
1008,39,-559.231708
1009,45,-558.944706
1010,54,-558.657704
1011,52,-558.3707019999999
1012,55,-558.0837
1013,43,-557.796698
1014,40,-557.5096960000001
1015,49,-557.222694
1016,43,-556.935692
1017,51,-556.64869
1018,41,-556.361688
1019,37,-556.0746859999999
1020,49,-555.787684
1021,44,-555.500682
1022,44,-555.2136800000001
1023,58,-554.926678
1024,44,-554.639676
1025,48,-554.352674
1026,48,-554.065672
1027,46,-553.77867
1028,48,-553.491668
1029,32,-553.2046660000001
1030,41,-552.9176640000001
1031,43,-552.630662
1032,42,-552.34366
1033,37,-552.056658
1034,28,-551.7696559999999
1035,53,-551.482654
1036,55,-551.195652
1037,49,-550.9086500000001
1038,52,-550.621648
1039,55,-550.334646
1040,45,-550.047644
1041,39,-549.760642
1042,45,-549.4736399999999
1043,38,-549.186638
1044,41,-548.899636
1045,43,-548.6126340000001
1046,35,-548.325632
1047,51,-548.03863
1048,42,-547.751628
1049,31,-547.464626
1050,55,-547.177624
1051,63,-546.890622
1052,42,-546.6036200000001
1053,44,-546.3166180000001
1054,60,-546.029616
1055,42,-545.742614
1056,38,-545.455612
1057,57,-545.16861
1058,41,-544.881608
1059,37,-544.594606
1060,34,-544.3076040000001
1061,38,-544.020602
1062,46,-543.7336
1063,55,-543.446598
1064,33,-543.159596
1065,32,-542.8725939999999
1066,50,-542.585592
1067,26,-542.29859
1068,60,-542.0115880000001
1069,51,-541.724586
1070,44,-541.437584
1071,45,-541.150582
1072,38,-540.86358
1073,45,-540.5765779999999
